Timestamp,Ronda,Hospital_ID,Global_Accuracy,Global_Loss,Encrypt_Time_ms,Decrypt_Time_ms,End_to_End_Round_Time_ms
2026-06-30 20:16:59,1,Hospital_0,0.625,0.6314,5822.88,77.75,11560.86
2026-06-30 20:17:00,1,Hospital_1,0.625,0.6314,8129.08,79.33,11891.84
2026-06-30 20:17:01,1,Hospital_2,0.625,0.6314,7506.09,80.09,12822.41
2026-06-30 20:17:16,2,Hospital_0,0.6266,0.5733,8788.37,75.25,15418.74
2026-06-30 20:17:17,2,Hospital_1,0.6266,0.5733,6818.48,74.28,16571.79
2026-06-30 20:17:17,2,Hospital_2,0.6266,0.5733,7872.03,76.16,16808.77
2026-06-30 20:17:29,3,Hospital_0,0.7163,0.5029,4750.17,88.36,11102.25
2026-06-30 20:17:29,3,Hospital_1,0.7163,0.5029,6209.98,85.28,11459.38
2026-06-30 20:17:30,3,Hospital_2,0.7163,0.5029,5551.85,77.17,12402.67
2026-06-30 20:17:42,4,Hospital_1,0.8429,0.433,5068.09,92.74,11961.96
2026-06-30 20:17:42,4,Hospital_0,0.8429,0.433,5442.29,73.36,12195.42
2026-06-30 20:17:44,4,Hospital_2,0.8429,0.433,6046.9,73.65,13909.74
2026-06-30 20:17:58,5,Hospital_0,0.8413,0.4063,5821.62,76.41,14200.28
2026-06-30 20:18:00,5,Hospital_2,0.8413,0.4063,6697.22,81.62,15902.26
2026-06-30 20:18:02,5,Hospital_1,0.8413,0.4063,6002.49,78.05,17644.53
2026-06-30 20:26:39,1,Hospital_0,0.625,0.6314,7012.1,81.04,11962.52
2026-06-30 20:26:40,1,Hospital_1,0.625,0.6314,6156.9,82.83,12714.56
2026-06-30 20:26:41,1,Hospital_2,0.625,0.6314,5607.05,85.26,13676.71
2026-06-30 20:26:55,2,Hospital_1,0.6266,0.5733,6071.57,77.77,13841.69
2026-06-30 20:26:56,2,Hospital_2,0.6266,0.5733,6096.53,77.32,14594.23
2026-06-30 20:26:57,2,Hospital_0,0.6266,0.5733,6102.15,79.67,15490.37
2026-06-30 20:27:11,3,Hospital_1,0.7163,0.5029,4829.32,80.89,14156.04
2026-06-30 20:27:12,3,Hospital_0,0.7163,0.5029,4894.87,82.58,15224.47
2026-06-30 20:27:12,3,Hospital_2,0.7163,0.5029,7026.23,85.81,15393.94
2026-06-30 20:27:25,4,Hospital_0,0.8429,0.433,5135.47,77.39,12673.64
2026-06-30 20:27:26,4,Hospital_1,0.8429,0.433,6638.67,69.1,13660.49
2026-06-30 20:27:27,4,Hospital_2,0.8429,0.433,5999.87,89.1,14700.07
